"id_cobranca","id_cliente","fl_ativo","fl_status_acordo","dt_entrada","dt_inicio_atraso","dt_inicio_juros","dt_saida","vl_divida_inicial"
13445,19375,N,C,2022-04-04,2022-01-25,2022-03-25,,1201.21
13678,19866,N,C,2022-04-28,2022-02-25,2022-04-25,,679.55
13773,20430,S,P,2022-05-13,2022-03-10,2022-05-10,,759.88
12121,22361,N,C,2021-06-04,2021-03-25,2021-05-25,,445.41
14782,22923,S,S,2022-10-23,2022-08-20,2022-10-20,,633.22
13522,23595,N,C,2022-04-13,2022-01-10,2022-04-10,,557.69
12681,23982,N,P,2021-10-25,2021-08-15,2021-10-15,,301.61
13674,24421,N,C,2022-04-28,2022-02-25,2022-04-25,,497.02
14597,24473,N,C,2022-09-28,2022-07-25,2022-09-25,,1121.70
9054,25059,N,S,2019-07-25,2019-05-15,2019-07-15,,972.45
14162,25103,S,S,2022-05-23,2022-07-08,2022-07-08,,25.00
14133,25878,S,S,2022-07-13,2022-05-10,2022-07-10,,729.42
13504,26407,N,S,2022-04-13,2022-01-10,2022-04-10,,487.03
13875,26614,N,S,2022-05-28,2022-03-25,2022-05-25,,805.76
14149,26623,S,S,2022-07-13,2022-05-10,2022-07-10,,57.63
14803,26870,S,S,2022-10-28,2022-08-25,2022-10-25,,464.05
12492,27233,N,S,2021-09-15,2021-07-05,2021-09-05,,395.94
14467,27344,S,C,2022-09-13,2022-07-10,2022-09-10,,555.14
14019,27418,N,S,2022-06-23,2022-04-20,2022-06-20,,466.25
12518,28282,N,S,2021-09-20,2021-07-10,2021-09-10,,1109.14
14369,28635,S,P,2021-10-25,2022-08-18,2022-08-18,,332.00
13210,29467,N,S,2022-02-25,2021-12-15,2022-02-15,,458.14
13829,29776,N,C,2021-11-25,2021-09-15,2022-05-11,,234.12
13856,29819,N,C,2022-05-28,2022-03-25,2022-05-25,,470.45
14177,29901,S,S,2022-07-18,2022-05-15,2022-07-15,,432.47
12125,30186,N,C,2021-06-04,2021-03-25,2021-05-25,,514.82
12911,30573,N,C,2021-12-20,2021-10-10,2022-01-10,,582.00
13849,30587,S,C,2022-04-04,2022-05-17,2022-05-17,,909.36
12111,30603,N,S,2021-06-04,2021-03-25,2021-05-25,,494.08
12242,30697,N,S,2021-07-05,2021-04-25,2021-06-25,,1378.68
12282,30771,N,C,2021-07-20,2021-05-10,2021-07-10,,929.46
14739,30901,S,P,2022-04-27,2022-10-10,2022-10-10,,369.00
13191,30910,N,C,2022-02-15,2021-12-05,2022-02-05,,941.31
12485,31014,N,S,2021-05-25,2021-09-05,2021-09-05,,263.52
13366,31081,S,P,2022-02-04,2022-03-17,2022-03-17,,720.00
14832,31087,S,S,2022-10-28,2022-08-25,2022-10-25,,826.83
12659,31089,N,P,2021-10-25,2021-08-15,2021-10-15,,388.90
12464,31111,N,S,2021-09-04,2021-06-25,2021-08-25,,879.66
12163,31148,N,C,2021-06-20,2021-04-10,2021-06-10,,1032.69
14193,31252,N,C,2021-07-05,2021-04-25,2022-07-13,,165.00
14773,31252,N,S,2021-07-05,2021-04-25,2022-10-14,,117.00
13969,31285,S,P,2022-01-20,2022-06-07,2022-06-07,,594.00
12594,31345,N,P,2021-10-05,2021-07-25,2021-09-25,,205.05
14258,31385,S,P,2021-11-30,2022-07-30,2022-07-30,,232.52
14700,31435,S,S,2022-10-13,2022-08-10,2022-10-10,,741.44
13226,31514,N,S,2022-02-25,2021-12-15,2022-02-15,,571.86
12980,31546,N,S,2021-07-25,2021-12-24,2021-12-24,,395.57
12926,31569,N,C,2021-12-20,2021-10-10,2022-01-10,,582.62
12466,31573,N,S,2021-09-04,2021-06-25,2021-08-25,,625.45
12836,31675,N,C,2021-11-30,2021-09-20,2021-11-20,,120.63
13910,31740,N,C,2022-06-08,2022-04-05,2022-06-05,,339.25
13566,31752,N,S,2022-04-18,2022-02-15,2022-04-15,,418.23
12943,31766,N,C,2021-12-25,2021-10-15,2021-12-15,,447.22
12380,15009,N,C,2021-08-11,2021-06-01,2021-08-01,,618.74
13506,15996,S,P,2022-04-13,2022-01-10,2022-04-10,,471.73
14442,17835,S,S,2022-05-13,2022-09-05,2022-09-05,,555.76
13049,18000,N,C,2022-01-20,2021-11-10,2022-02-10,,872.36
14347,18383,S,P,2022-08-23,2022-06-20,2022-08-20,,295.91
14582,20261,S,P,2022-09-28,2022-07-25,2022-09-25,,763.22
12986,20739,N,C,2022-01-04,2021-10-25,2021-12-25,,586.05
12773,20825,N,S,2021-11-20,2021-09-10,2021-11-10,,693.75
14059,20977,N,C,2022-06-28,2022-04-25,2022-06-25,,451.82
14531,22349,S,S,2022-09-18,2022-07-15,2022-09-15,,884.43
12938,23184,N,C,2021-12-20,2021-10-10,2022-01-10,,719.80
13824,23709,N,C,2022-05-18,2022-03-15,2022-05-15,,596.56
12731,24159,N,S,2021-11-04,2021-08-25,2021-10-25,,464.80
13002,24526,N,C,2022-01-04,2021-10-25,2021-12-25,,451.10
